Entry,Status,Protein names,Interacts with,Organism,Mass,EC number
Q8IWU4,reviewed,Zinc transporter 8 (ZnT-8) (Solute carrier family 30 member 8),P16157-17; Q13520; Q9NVJ2; Q9HD20-3; Q9BXK5; Q13323; Q8WZ55; P13236; Q8TCZ2; Q99675; P56747; Q96FZ5; Q7Z7G2; Q96BA8; Q9BUN8; Q15125; Q9GZR5; Q9Y282; P60508; Q5JX71; Q96KR6; Q96IV6; Q8TBE3; O60883; O15529; Q14416; Q9NP66; P30519; Q8NBQ5; Q96MG2; A8MZ59; P15941-11; Q16617; Q9P0S3; Q9NUU6; P12004; O15173; Q99640-2; P26678; P43378; Q9H6H4; Q96HR9-2; Q8NC24; Q96TC7; O95197-3; Q96GQ5; Q9NR31; Q9NY72; Q9Y6D0; Q8WV19; O95562; P54219-3; Q99726; Q9NP94; Q9NPE6; Q8WWF3; Q8N2H4; Q8N9I0; Q8WY91; C9JKN6; P17152; Q8IV31; Q9NUH8; Q9BTX3; Q96Q45-2; O95807; Q4KMG9; Q96HE8; Q9P0T7; O60636; P23763-3; P63027; Q9BSR8; Q96EC8; Q5T4F4; P08563,Homo sapiens (Human),"40,755",
O15432,reviewed,Probable low affinity copper uptake protein 2 (Copper transporter 2) (hCTR2) (Solute carrier family 31 member 2),Q12983,Homo sapiens (Human),"15,681",
Q9H598,reviewed,Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter) (hVIAAT),,Homo sapiens (Human),"57,415",
Q7Z2H8,reviewed,Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1),P05067; A5PKU2,Homo sapiens (Human),"53,076",
Q9H2H9,reviewed,Sodium-coupled neutral amino acid transporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1),Q86WK6; Q13520; O95393; Q86Z23; P11912; Q969F0; O15552; Q8TDT2; O15529; Q14416; P24593; Q01638-2; Q9BQ51; O15173; Q01453; Q9NS64; O95968; Q9NY72; Q8N6R1; Q14973; Q3KNW5; Q9UKG4; Q9BZL3; Q8WWF3; P0DN84; Q9H2L4; Q6ZT21; A5PKU2,Homo sapiens (Human),"54,048",
Q96NT5,reviewed,Proton-coupled folate transporter (HsPCFT) (hPCFT) (Heme carrier protein 1) (PCFT/HCP1) (Solute carrier family 46 member 1),,Homo sapiens (Human),"49,771",
Q96FL8,reviewed,Multidrug and toxin extrusion protein 1 (MATE-1) (hMATE-1) (Solute carrier family 47 member 1),Q9H0Q3,Homo sapiens (Human),"61,922",
Q86VL8,reviewed,Multidrug and toxin extrusion protein 2 (MATE-2) (hMATE-2) (Kidney-specific H(+)/organic cation antiporter) (Solute carrier family 47 member 2),,Homo sapiens (Human),"65,085",
Q9Y6R1,reviewed,Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1),Itself; P48283,Homo sapiens (Human),"121,461",
Q9HAB3,reviewed,"Solute carrier family 52, riboflavin transporter, member 2 (Porcine endogenous retrovirus A receptor 1) (PERV-A receptor 1) (Protein GPR172A) (Riboflavin transporter 3) (hRFT3)",Q9UJX2; Q5JX71,Homo sapiens (Human),"45,777",
P13866,reviewed,Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1),P00533,Homo sapiens (Human),"73,498",
Q8WWX8,reviewed,Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11),O00505; O00505,Homo sapiens (Human),"74,036",
P31639,reviewed,Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),,Homo sapiens (Human),"72,897",
P53794,reviewed,Sodium/myo-inositol cotransporter (Na(+)/myo-inositol cotransporter) (Sodium/myo-inositol transporter 1) (SMIT1) (Solute carrier family 5 member 3),,Homo sapiens (Human),"79,664",
Q9NY91,reviewed,Solute carrier family 5 member 4,Q8NBJ4; Q8N6L0; Q96HJ5; Q96Q45-2,Homo sapiens (Human),"72,456",
Q9GZV3,reviewed,High affinity choline transporter 1 (Hemicholinium-3-sensitive choline transporter) (CHT) (Solute carrier family 5 member 7),,Homo sapiens (Human),"63,204",
Q8N695,reviewed,Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8),,Homo sapiens (Human),"66,578",
P30531,reviewed,Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1),O75031,Homo sapiens (Human),"67,074",
P48066,reviewed,Sodium- and chloride-dependent GABA transporter 3 (GAT-3) (Solute carrier family 6 member 11),,Homo sapiens (Human),"70,606",
P48065,reviewed,Sodium- and chloride-dependent betaine transporter (BGT-1) (Na(+)/Cl(-) betaine/GABA transporter) (Solute carrier family 6 member 12),P11912; Q04864; Q14160,Homo sapiens (Human),"69,368",
Q9NSD5,reviewed,Sodium- and chloride-dependent GABA transporter 2 (GAT-2) (Solute carrier family 6 member 13),Q92870-2; P54253; P22607; P04792; O60333-2; P49810; Q9Y3C5,Homo sapiens (Human),"68,009",
Q9UN76,reviewed,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+) (Amino acid transporter ATB0+) (Solute carrier family 6 member 14),,Homo sapiens (Human),"72,153",
P23975,reviewed,Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2),,Homo sapiens (Human),"69,332",
Q01959,reviewed,Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3),P14416; O15354; Q99578; P37840; Q5T9L3; Q9EP80; Q5BJQ5,Homo sapiens (Human),"68,495",
P31645,reviewed,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),,Homo sapiens (Human),"70,325",
Q9Y345,reviewed,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),,Homo sapiens (Human),"87,434",
Q99884,reviewed,Sodium-dependent proline transporter (Solute carrier family 6 member 7),,Homo sapiens (Human),"70,911",
P48029,reviewed,Sodium- and chloride-dependent creatine transporter 1 (CT1) (Creatine transporter 1) (Solute carrier family 6 member 8),,Homo sapiens (Human),"70,523",
P48067,reviewed,Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9),,Homo sapiens (Human),"78,260",
P30825,reviewed,High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter),O60242; P02652; Q13520; P27449; P07357; P27352; P13236; Q8NHW4; P25942; P11912; O14735; Q9HA82; Q8TAZ6; P21964; Q96BA8; Q9BV81; Q96D05-2; Q969F0; Q8N3T1; O00258; P16278; Q8TDT2; Q9BSE4; O15243; O95214; Q9GZY8-5; O14880; Q5J8X5; Q8N138; Q9BQ51; P54315; P43378; P50876; Q9NTJ5; Q9NY72; Q15436; Q3KNW5; Q05940; Q9BRI3; Q9NP94; Q9NUM3; Q9NWF4; Q9NRQ5; Q96JF0-2; Q13586; P55061; Q9Y6G1; Q96HH6; Q96Q45-2; Q5TGU0; A5PKU2; Q9BSR8,Homo sapiens (Human),"67,638",
Q9UPY5,reviewed,Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT),P16070; Q07627; Q8IUG1; P08195-4,Homo sapiens (Human),"55,423",
P52569,reviewed,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),,Homo sapiens (Human),"71,673",
Q8WY07,reviewed,Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3),Q14973; Q96Q45-2,Homo sapiens (Human),"67,169",
O43246,reviewed,Cationic amino acid transporter 4 (CAT-4) (CAT4) (Solute carrier family 7 member 4),,Homo sapiens (Human),"68,268",
Q9UM01,reviewed,Y+L amino acid transporter 1 (Monocyte amino acid permease 2) (MOP-2) (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1),,Homo sapiens (Human),"55,991",
P32418,reviewed,Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1),Q01484-2; P23297; P33763,Homo sapiens (Human),"108,547",
P19634,reviewed,"Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)",Q99653; O43745; Q96BS2,Homo sapiens (Human),"90,763",
O14745,reviewed,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1),Q9BYF1; P07550; Q92624; P13569; P29762; Q9Y2H0-1; P15311; P26038; P35240-1; P47900; P09619; O60346; O60346-2; Q6ZVD8; P60484; Itself; Q9R0W0; P26043,Homo sapiens (Human),"38,868",
Q96T83,reviewed,Sodium/hydrogen exchanger 7 (Na(+)/H(+) exchanger 7) (NHE-7) (Solute carrier family 9 member 7),O15127,Homo sapiens (Human),"80,131",
Q86UD5,reviewed,Sodium/hydrogen exchanger 9B2 (Na(+)/H(+) exchanger NHA2) (Na(+)/H(+) exchanger-like domain-containing protein 2) (NHE domain-containing protein 2) (Sodium/hydrogen exchanger-like domain-containing protein 2) (Solute carrier family 9 subfamily B member 2),O15173,Homo sapiens (Human),"57,564",
P46721,reviewed,Solute carrier organic anion transporter family member 1A2 (OATP-A) (Organic anion-transporting polypeptide 1) (OATP-1) (Sodium-independent organic anion transporter) (Solute carrier family 21 member 3),,Homo sapiens (Human),"74,145",
Q9Y6L6,reviewed,Solute carrier organic anion transporter family member 1B1 (Liver-specific organic anion transporter 1) (LST-1) (OATP-C) (Sodium-independent organic anion-transporting polypeptide 2) (OATP-2) (Solute carrier family 21 member 6),,Homo sapiens (Human),"76,449",
Q9NPD5,reviewed,Solute carrier organic anion transporter family member 1B3 (Liver-specific organic anion transporter 2) (LST-2) (Organic anion transporter 8) (Organic anion-transporting polypeptide 8) (OATP-8) (Solute carrier family 21 member 8),,Homo sapiens (Human),"77,403",
Q9NYB5,reviewed,Solute carrier organic anion transporter family member 1C1 (Organic anion transporter F) (OATP-F) (Organic anion transporter polypeptide-related protein 5) (OAT-RP-5) (OATPRP5) (Organic anion-transporting polypeptide 14) (OATP-14) (Solute carrier family 21 member 14) (Thyroxine transporter),,Homo sapiens (Human),"78,696",
Q92959,reviewed,Solute carrier organic anion transporter family member 2A1 (Prostaglandin transporter) (PGT) (Solute carrier family 21 member 2),,Homo sapiens (Human),"70,044",
O94956,reviewed,Solute carrier organic anion transporter family member 2B1 (Organic anion transporter B) (OATP-B) (Organic anion transporter polypeptide-related protein 2) (OATP-RP2) (OATPRP2) (Solute carrier family 21 member 9),,Homo sapiens (Human),"76,711",
Q9H2G2,reviewed,STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2),Itself,Homo sapiens (Human),"142,695",2.7.11.1
P55000,reviewed,Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B) (ARS(component B)-81/S) (Anti-neoplastic urinary protein) (ANUP),P36544,Homo sapiens (Human),"11,186",
Q15797,reviewed,Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1),P10275; Q9GZU7; O14595; O15194; P17844; Q9NRR4; O95208-2; O15397; Q9Y2U8; Q96CV9; P28070; Itself; Q13485; O43541; Q9HCE7; Q9HCE7-2; Q9HAU4; P15374; P46937,Homo sapiens (Human),"52,260",
Q15796,reviewed,Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2),Q12955; P05060; O15111; P98082; Q9BZ29; O75593; P05412; Q9NYA4; P07197; Q8TAK6; P35813; Q9H6Z4; P61586; P12755; P84022; Q13485; Q9HAU4; Q13573; P04637; Q9H3D4; Q9UPN9; O00308; Q96KR1; O95405; P70056,Homo sapiens (Human),"52,306",
P84022,reviewed,Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3),Q06481-5; P05067; Q9H2G9; Q9UQM7; P29466-3; E9PSE9; Q8N5R6; Q9H2X0; Q8N684; Q8N684-3; O43186; Q96PZ7; P48730-2; P98082; P17844; Q9BZ29; Q86YD7; Q01543; O75593; O43524; P10070; Q16665; O15397; Q8WXH2; P50222; Q9NYA4; Q99836; P46934-3; Q16822; Q8IXK0; Q8IXK0-5; P27986-2; Q9BZL4; P17612; P20618; Q96EP0; P0C264; Q9BYW2; P12755; Q15796; Itself; Q13485; Q9HAU4; Q13573; Q13501; Q8WW24; Q15583; Q08117; Q08117-2; Q9Y3Q8; Q93009; Q9H0M0; O00308; Q5D1E8; O95405; Q6NX45; Q64729; O92972,Homo sapiens (Human),"48,081",
Q13485,reviewed,Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4),P05067; Q9Y297; Q9UI36; Q9NPI6; Q92988; P43268-3; Q01844; O43524; P98177; P23769; P61968; Q8NI38; Q9UBE8; P24468; Q8WWW0; P12755; P12757; Q15797; Q15796; P84022; Itself; O15198; O15198-2; P08047; Q08117-2; Q9UPN9; P63279; Q93008; Q15915; P70056; P70398,Homo sapiens (Human),"60,439",
Q99717,reviewed,Mothers against decapentaplegic homolog 5 (MAD homolog 5) (Mothers against DPP homolog 5) (JV5-1) (SMAD family member 5) (SMAD 5) (Smad5) (hSmad5),P17844; Q92876; Q99732; P78424; Q969T9,Homo sapiens (Human),"52,258",
O43541,reviewed,Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (SMAD family member 6) (SMAD 6) (Smad6) (hSMAD6),P51817; Q13950; Q15797; Itself; O95630,Homo sapiens (Human),"53,497",
O15105,reviewed,Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7) (hSMAD7),P36896; O15169; Q92905; P62942; Q96PU5-5; Q9HCE7-1; Q9HAU4; O00308; P46937; Q99ML9,Homo sapiens (Human),"46,426",
O15198,reviewed,Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (Madh6) (SMAD family member 9) (SMAD 9) (Smad9),O60341; Q96LA8; Q13485; P28799; Q9Y2U8; Q13485,Homo sapiens (Human),"52,493",
P28370,reviewed,Probable global transcription activator SNF2L1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA1) (Nucleosome-remodeling factor subunit SNF2L) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1),Q12830,Homo sapiens (Human),"122,605",3.6.4.-
P51531,reviewed,Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2),O14497; Q8NFD5; Q07666; P51608; Q9NRD5; O00560; Q8TAQ2; P04326; Q8N7W2-2; O00560,Homo sapiens (Human),"181,279",3.6.4.-
P51532,reviewed,Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4),O14497; Q8NFD5; Q68CP9; P16104; Q86U86; Q06330; Q13127; Q12824; Q92922; Q96GM5; Q969G3-2; A4PIV7; O14746; P06536,Homo sapiens (Human),"184,646",3.6.4.-
O60264,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H),Q9NRL2; Q9UIG0; P62805; Q96T23,Homo sapiens (Human),"121,905",3.6.4.-
Q9H4L7,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 (EC 3.6.4.12) (ATP-dependent helicase 1) (hHEL1),,Homo sapiens (Human),"117,402",3.6.4.12
Q12824,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (BRG1-associated factor 47) (BAF47) (Integrase interactor 1 protein) (SNF5 homolog) (hSNF5),Q68CP9; P27797; G5E9A7; P50570-2; P22607; P14136; Q53GS7; P06396; Q6FI13; O60814; P68431; P62805; P01112; P42858; Q8WXH2; P51608; P19404; P16284; P51532; Itself; Q16637; Q7Z699; O14656-2; P08670; Q9Y649; P04585; Q8K1P7; P04326; P06789; P50570-2; Q86YD7; Q8IZU0; O14964; O75031; Q14005-2; Q14696; Q96EL3; Q9NRD5; O43741; P20618; Q9BVN2; Q8TAQ2-2; Q96GM5; Q08117-2; Q9UPQ4-2; P0C7X2,Homo sapiens (Human),"44,141",
Q92922,reviewed,SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1),Q6UY14-3; Q86X55; P27918; Q9UHD4; A8MQ03; O76003; Q9H4Y5; Q3SY46; Q3LHN2; Q3LI59; Q6PEX3; Q9BYR8; Q9BYR7; Q9BYR6; Q3LI64; Q3LI66; Q8IUC3; Q9P2M1; P32242; O15162; O43314-2; Q03431; Q16348; P51532; Q96GM5; Q7Z6I5; Q8IWZ5; Q6NVU6; A8MV65-2; Q9P0T4,Homo sapiens (Human),"122,867",
Q8TAQ2,reviewed,SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2),Q9P2D1; P51531; Q9NYB0; P42858; Q7Z3Y8; Q12824-2,Homo sapiens (Human),"132,879",
Q96GM5,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit),Q8IZP0-5; Q9NYB9-2; Q9P2A4; Q7Z6V5; Q86SG2; Q8WVL7; Q8N2F6-2; Q96B67; P54253; P46379-2; O75934; Q7L4P6; Q00994; Q6PI77; Q8TDH9; Q9NSI6-4; Q5BKX5-3; Q9NX04; Q13137; Q68D86; Q8NCU1; Q01850; P40199; Q9Y2V7; P08123; Q96A83-2; Q9NWM3; A8MQ03; Q13561; Q9NRI5-2; O14645; Q04637-9; A0A0A0MR80; Q96DF8; Q96C01; Q3B820; P21333-2; P14136; O75420; Q9BRX5; A6NEM1; Q6IC98; Q96HZ4; P31249; O75031; O43464; P42858; Q70UQ0-4; Q9UKT9; Q1MX18; Q15051-2; Q8WXH2; Q9H079; Q14145; Q2KHM9; O14901; P19012; P08779; Q7Z3Y8; Q15323; O76011; O76014; O76015; O95678; O43679; O95751; Q13449; Q9BRK4; P43356; P43360; Q9NPJ6; Q13064; Q5JR59-3; Q15742; P19404; Q7Z6G3-2; Q9H3P2; Q9BRJ7; Q9BVL2; Q96CV9; Q9UKS6; Q9BYU1; Q8N2W9; Q9NRD5; Q9NWS0; Q96KN3; Q9UPG8; Q5JR12; P41219; O43586; Q92753-1; Q6ZMJ2-2; P0DPB3-4; Q9BWG6; Q9UJW9; Q6ZSJ9; P51532; Q12824-2; Q92922; Q53HV7-2; Q96H20; Q99619; Q8IWL8; Q9NZ72; Q13148; Q8TDR4; Q6I9Y2; Q08117-2; P14373; Q9BYV2; Q6ZMU5; Q8N6Y0; Q70EL1-9; Q9H9H4; O00308; P13994; Q53FD0-2; Q9UDW3; Q9H0C1; Q8TAU3; Q7Z4V0; Q8NB15; Q9UEG4; Q8N720; Q9UC07-2; A0A1U9X8X8; P06536,Homo sapiens (Human),"58,233",
Q92925,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (60 kDa BRG-1/Brm-associated factor subunit B) (BRG1-associated factor 60B) (BAF60B),Q9H9P5,Homo sapiens (Human),"58,921",
Q6STE5,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 (60 kDa BRG-1/Brm-associated factor subunit C) (BRG1-associated factor 60C) (BAF60C),P37231; P37231,Homo sapiens (Human),"55,016",
Q969G3,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57),Q9Y2J4; Q9Y2J4-4; Q68CP9; Q9HCU9; Q96JN2-2; P0C7W6; G5E9W6; Q8TD31-3; Q01850; Q96L14; Q96MT8; Q96MT8-3; Q8NHQ1; A8MQ03; Q9NRI5-2; Q12929; Q96A65-2; Q9UPT5; Q9NTX9; A1L4K1; Q08379; A6NEM1; Q4V328; Q96LB3-2; Q13099; Q8WYH8; Q96AA8; Q9BVG8; P02533; P19012; P08779; P08727; Q7Z3Y8; Q15323; O76011; Q92764; O76014; Q6A163; Q6A162; Q07627; P60410; P60411; Q9NPJ6; P50222; Q6FHY5; Q8TD10; Q96HT8; Q5JR59; Q5JR59-3; Q7Z3S9; P37198; O43482; P62333; Q15311; Q6NUQ1; Q96R06; O75558; Q8N0S2; Q9BXU0; Q9UBB9; Q9BYV2; Q15642; Q15642-2; P40222; Q8N6Y0; Q8N1B4; Q9UKL0; Q9UKL0; P51532,Homo sapiens (Human),"46,649",
Q99835,reviewed,Smoothened homolog (SMO) (Protein Gx),,Homo sapiens (Human),"86,397",
Q9NWM0,reviewed,Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1),,Homo sapiens (Human),"61,819",1.5.3.16
P17405,reviewed,Sphingomyelin phosphodiesterase (EC 3.1.4.12) (EC 3.1.4.3) (Acid sphingomyelinase) (aSMase),P55210,Homo sapiens (Human),"69,936",3.1.4.12; 3.1.4.3
O60906,reviewed,Sphingomyelin phosphodiesterase 2 (EC 3.1.4.12) (Lyso-platelet-activating factor-phospholipase C) (Lyso-PAF-PLC) (Neutral sphingomyelinase) (N-SMase) (nSMase) (nSMase1),P53367; O00622; Q8NI60; Q05329; Q9ULP0-2; Q96AL5; O15173; Q9UKF7-2; Q9Y371; Q14973; Q9UHI5; P49675; Q9NUH8; Q9NRX6,Homo sapiens (Human),"47,646",3.1.4.12
Q9NY59,reviewed,Sphingomyelin phosphodiesterase 3 (EC 3.1.4.12) (Neutral sphingomyelinase 2) (nSMase-2) (nSMase2) (Neutral sphingomyelinase II),O75530,Homo sapiens (Human),"71,081",3.1.4.12
Q9NXE4,reviewed,Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III),,Homo sapiens (Human),"97,810",3.1.4.12
Q9HAU4,reviewed,E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),Q9H469; P46934-4; Q9Y3C5; Q8WWV3; Q15797; Q15796; P84022; O15105; Itself; P53804; P0CG47; Q9WMX2,Homo sapiens (Human),"86,196",2.3.2.26
Q8NB12,reviewed,Histone-lysine N-methyltransferase SMYD1 (EC 2.1.1.354) (SET and MYND domain-containing protein 1),P30520; Q03989; Q9BYV9; O14503; Q9H5F2; Q9NRI5-2; Q86TH3; Q6J272; Q9H8W3; Q86UY5; Q9NVL1-2; Q9BSH5; Q9NP66; Q8IX15-3; Q96L93-6; Q92764; Q99750; Q6FHY5; A7E2Y1; A7E2Y1-2; P07196; Q9HBE1-4; P78424; Q9BQ04; Q9H0K4; Q9BVN2; Q9Y5W9; Q99932-2; Q3YBR2; Q70EL1-9; Q9BVJ6; Q9H5J0; Q8NCP5,Homo sapiens (Human),"56,617",2.1.1.354
Q9NRG4,reviewed,N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2),P20290-2; Q96K17; Q9UPZ9; Q9Y5W9; P04637,Homo sapiens (Human),"49,688",2.1.1.-; 2.1.1.354
O95863,reviewed,Zinc finger protein SNAI1 (Protein snail homolog 1) (Protein sna),P35609; Q08043; Q96IF1; Q9Y297; Q9Y2V7; Q5JVL4; Q09472; Q96B26; Q8N1E6; Q86XK2; Q14192; Q92990; A6NEM1; P49841; Q13547; Q92769; O60341; Q15323; Q6A162; Q07627; Q9UJV3-2; Q5JR59; Q7Z3S9; P09874; Q99471; Q04206; O14543; Q96BD6; P04637; Q12933; P36406; Q9C035; Q15654; P45481; P63085,Homo sapiens (Human),"29,083",
O43623,reviewed,Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2),Q9NPB3; P68400; P21673; P36406; P36508,Homo sapiens (Human),"29,986",
Q3KNW1,reviewed,Zinc finger protein SNAI3 (Protein snail homolog 3) (Zinc finger protein 293),,Homo sapiens (Human),"32,474",
P60880,reviewed,Synaptosomal-associated protein 25 (SNAP-25) (Super protein) (SUP) (Synaptosomal-associated 25 kDa protein),Q16623; Q8IUH5; P0DTD1; O14810; P42858; O75558; Q8N4C7; Q16623; Q9BRT2; Q13360-2; P32851,Homo sapiens (Human),"23,315",
Q5SXM2,reviewed,snRNA-activating protein complex subunit 4 (SNAPc subunit 4) (Proximal sequence element-binding transcription factor subunit alpha) (PSE-binding factor subunit alpha) (PTF subunit alpha) (snRNA-activating protein complex 190 kDa subunit) (SNAPc 190 kDa subunit),,Homo sapiens (Human),"159,433",
